alert_id,customer_id,customer_segment,customer_tenure_years,country,counterparty_country,txn_amount,txn_type,counterparty,alert_reason,prior_alerts_90d,is_true_positive
AL001341,C33680,retail,14,SG,GB,23688.71,ach,CP6735,pep_match,0,0
AL001342,C91082,retail,1,JP,FR,10000.0,ach,CP2478,round_amount,2,0
AL001343,C25850,retail,22,SG,DE,5292.05,wire,CP8680,dormant_reactivation,2,0
AL001344,C32615,retail,0,DE,DE,18107.92,card,CP3542,high_risk_geo,5,0
AL001345,C49740,retail,18,DE,GB,183334.88,cash,CP4871,sanctions_match,1,1
AL001346,C82868,retail,17,GB,JP,48214.74,cash,CP6047,dormant_reactivation,2,0
AL001347,C44214,retail,0,SG,SG,8153.82,ach,CP5159,structuring,0,0
AL001348,C34483,retail,18,BR,CA,9756.27,ach,CP3856,structuring,2,0
AL001349,C52844,retail,15,JP,SG,26444.6,ach,CP3265,pep_match,0,0
AL001350,C17115,retail,11,DE,US,33825.99,card,CP9978,pep_match,0,0
AL001351,C84569,retail,16,US,SG,21216.66,ach,CP8182,high_risk_geo,0,0
AL001352,C15300,retail,25,JP,JP,8318.58,ach,CP4309,structuring,3,0
AL001353,C55467,retail,3,KP,NG,203760.85,card,CP3670,sanctions_match,1,0
AL001354,C55645,business,23,ZA,AE,194846.73,ach,CP1393,sanctions_match,0,0
AL001355,C20832,retail,13,FR,DE,153214.0,wire,CP4447,sanctions_match,0,0
AL001356,C70338,retail,3,CA,US,7716.4,wire,CP7719,dormant_reactivation,0,0
AL001357,C90938,retail,5,US,CA,28621.04,ach,CP1522,sanctions_match,0,1
AL001358,C54212,retail,6,SG,TR,19935.46,wire,CP4414,high_risk_geo,0,0
AL001359,C47283,retail,5,SG,FR,26145.44,wire,CP1372,pep_match,2,0
AL001360,C59227,private,4,NG,JP,635.36,ach,CP3110,pep_match,8,0
AL001361,C10162,retail,23,TR,JP,3621.79,card,CP4516,velocity,0,0
AL001362,C35002,private,3,MX,SG,1051.01,wire,CP7944,pep_match,5,1
AL001363,C13361,business,23,JP,GB,9653.49,wire,CP3307,structuring,0,0
AL001364,C18063,business,5,BR,GB,10000.0,ach,CP8259,round_amount,0,0
AL001365,C24029,private,16,RU,US,10000.0,wire,CP6609,round_amount,2,0
AL001366,C17687,retail,9,TR,NG,32173.64,wire,CP3042,dormant_reactivation,1,1
AL001367,C58613,retail,9,AU,ZA,32063.97,ach,CP8255,pep_match,3,0
AL001368,C42912,retail,3,JP,AU,8789.63,wire,CP8565,pep_match,0,0
AL001369,C23156,retail,13,US,CA,52201.25,card,CP8361,sanctions_match,1,0
AL001370,C68688,retail,23,CA,AU,5852.47,wire,CP2759,high_risk_geo,0,0
AL001371,C17062,retail,14,CA,MM,116132.11,wire,CP8568,sanctions_match,0,1
AL001372,C32935,private,6,US,MX,4851.35,card,CP2871,velocity,0,0
AL001373,C25793,private,15,AU,JP,50000.0,cash,CP1089,round_amount,1,0
AL001374,C67253,retail,13,KP,GB,40531.33,card,CP3439,pep_match,3,0
AL001375,C23129,retail,12,DE,NG,23855.17,wire,CP6088,pep_match,5,0
AL001376,C95865,business,8,US,CA,112009.38,ach,CP5303,sanctions_match,0,1
AL001377,C42675,retail,18,CA,ZA,35056.71,cash,CP2077,pep_match,1,1
AL001378,C61773,retail,15,FR,US,29564.36,ach,CP9670,pep_match,1,0
AL001379,C63855,business,23,CA,SG,6189.84,ach,CP7258,dormant_reactivation,1,0
AL001380,C67264,business,5,SG,US,50000.0,ach,CP3998,round_amount,0,0
AL001381,C66464,retail,8,FR,CA,13921.36,wire,CP3286,high_risk_geo,1,0
AL001382,C96411,retail,5,SG,ZA,8742.1,wire,CP1449,pep_match,0,0
AL001383,C86639,retail,16,FR,CA,8608.94,cash,CP8349,structuring,1,0
AL001384,C76613,business,9,AE,IR,41846.76,ach,CP1500,dormant_reactivation,1,0
AL001385,C40557,business,11,ZA,MX,2698.76,wire,CP8214,velocity,0,0
AL001386,C22281,business,10,US,US,1479.51,ach,CP3946,pep_match,0,0
AL001387,C98387,business,16,CA,AU,191270.08,ach,CP5430,sanctions_match,3,0
AL001388,C72539,private,21,BR,ZA,8814.76,cash,CP1819,structuring,1,0
AL001389,C82331,retail,13,DE,FR,4604.16,ach,CP5065,pep_match,0,1
AL001390,C94040,retail,25,DE,AU,579.69,card,CP7523,velocity,1,0
AL001391,C66270,retail,8,AU,FR,30569.28,ach,CP1419,pep_match,0,0
AL001392,C41871,retail,11,GB,US,9028.22,wire,CP7662,structuring,0,0
AL001393,C67135,retail,19,US,DE,2696.38,ach,CP3252,velocity,0,0
AL001394,C21689,business,19,GB,VE,100000.0,ach,CP5913,round_amount,0,0
AL001395,C36813,retail,5,IR,DE,3322.85,card,CP7674,velocity,1,0
AL001396,C62508,retail,17,AU,MX,9948.42,wire,CP6446,structuring,0,0
AL001397,C95234,private,3,TR,FR,15243.99,wire,CP1517,pep_match,0,0
AL001398,C77605,business,23,FR,AU,5000.0,ach,CP3077,round_amount,1,0
AL001399,C82240,private,12,ZA,NG,136902.74,card,CP3383,sanctions_match,1,0
AL001400,C44737,retail,12,FR,CA,11478.41,ach,CP9944,pep_match,0,0
AL001401,C21835,retail,12,DE,AU,31003.55,ach,CP6362,dormant_reactivation,3,0
AL001402,C72620,retail,5,JP,AE,31467.15,wire,CP6919,sanctions_match,1,1
AL001403,C80492,retail,7,NG,CA,118882.97,ach,CP7469,sanctions_match,1,0
AL001404,C73636,retail,19,AU,MM,8019.02,ach,CP1125,structuring,0,1
AL001405,C99444,retail,12,FR,MX,24425.5,wire,CP5488,high_risk_geo,0,0
AL001406,C50729,private,8,ZA,BR,50000.0,wire,CP6156,round_amount,2,0
AL001407,C76377,retail,7,SG,US,14012.43,card,CP1473,high_risk_geo,2,0
AL001408,C47904,retail,13,JP,AU,10000.0,card,CP1887,round_amount,0,0
AL001409,C29943,retail,5,JP,US,173850.74,ach,CP5818,sanctions_match,0,1
AL001410,C61136,retail,10,SG,SG,32900.88,ach,CP1454,dormant_reactivation,0,0
AL001411,C80366,retail,0,CA,FR,20937.64,ach,CP1245,high_risk_geo,8,0
AL001412,C56971,retail,19,AU,SG,7557.04,card,CP8275,high_risk_geo,0,0
AL001413,C24536,business,2,MX,AU,13303.49,wire,CP3697,pep_match,2,0
AL001414,C79768,retail,12,DE,SG,1178.48,ach,CP1787,velocity,1,0
AL001415,C75989,retail,22,GB,FR,8496.57,wire,CP6313,high_risk_geo,1,0
AL001416,C35796,business,10,FR,AU,1562.24,ach,CP2256,velocity,1,0
AL001417,C91368,retail,15,TR,BR,3860.27,ach,CP2390,velocity,1,0
AL001418,C35117,retail,15,BR,DE,14814.8,ach,CP9829,dormant_reactivation,1,0
AL001419,C60728,retail,2,CA,MX,828.26,ach,CP5045,dormant_reactivation,2,0
AL001420,C53387,business,19,DE,DE,3609.97,ach,CP4760,velocity,0,0
AL001421,C55264,business,2,CA,AU,50000.0,ach,CP3822,round_amount,0,0
AL001422,C72273,retail,11,JP,AU,206550.04,wire,CP4562,sanctions_match,0,0
AL001423,C43483,retail,16,CA,JP,9209.59,wire,CP9828,structuring,0,0
AL001424,C50117,private,22,ZA,ZA,152898.49,wire,CP6152,high_risk_geo,3,0
AL001425,C88409,retail,2,SG,SG,7049.01,ach,CP9854,dormant_reactivation,0,0
AL001426,C41230,private,5,FR,GB,9621.29,ach,CP2690,structuring,1,0
AL001427,C83013,retail,1,SG,GB,9201.81,wire,CP4474,high_risk_geo,2,0
AL001428,C59729,retail,12,CA,DE,9746.83,wire,CP2877,structuring,1,0
AL001429,C47848,retail,12,SG,CA,137161.39,card,CP2011,sanctions_match,0,0
AL001430,C46223,business,1,FR,NG,9204.13,wire,CP7899,structuring,0,0
AL001431,C14570,private,21,ZA,TR,1581.18,card,CP1059,velocity,1,0
AL001432,C87113,retail,10,US,AU,7807.68,card,CP7212,structuring,0,0
AL001433,C19676,retail,13,US,AE,50000.0,card,CP1213,round_amount,1,0
AL001434,C10207,business,7,JP,CA,4696.75,card,CP8323,dormant_reactivation,8,0
AL001435,C65009,retail,24,FR,SG,130936.79,wire,CP9982,sanctions_match,2,0
AL001436,C83142,retail,7,AU,AU,8650.63,ach,CP9520,structuring,0,0
AL001437,C57581,business,18,SG,SG,30795.39,ach,CP8430,pep_match,0,0
AL001438,C56990,business,22,AU,DE,7848.79,wire,CP8447,structuring,0,0
AL001439,C28245,business,18,GB,FR,138547.36,wire,CP2193,sanctions_match,3,0
AL001440,C73999,private,21,JP,IR,50000.0,ach,CP5862,round_amount,1,0
AL001441,C33203,retail,4,CA,GB,504.92,cash,CP3665,velocity,0,0
AL001442,C58030,retail,8,MX,CA,5000.0,card,CP5364,round_amount,3,0
AL001443,C85756,business,4,JP,JP,5000.0,ach,CP3318,round_amount,2,1
AL001444,C54849,retail,12,BR,NG,5361.24,cash,CP7717,high_risk_geo,0,0
AL001445,C90088,retail,5,GB,GB,4245.71,ach,CP6375,velocity,0,0
AL001446,C44316,business,16,MX,CA,100000.0,ach,CP8415,round_amount,3,0
AL001447,C17733,retail,17,AU,JP,120626.85,wire,CP2498,sanctions_match,0,0
AL001448,C15717,retail,5,US,SG,5638.52,card,CP6942,pep_match,0,0
AL001449,C11927,retail,18,BR,GB,7896.03,ach,CP1075,structuring,2,0
AL001450,C28461,business,7,CA,ZA,15750.47,cash,CP9550,pep_match,1,0
AL001451,C21546,retail,24,DE,BR,700.95,wire,CP9432,velocity,5,0
AL001452,C15951,business,1,KP,ZA,53697.74,cash,CP3518,sanctions_match,2,1
AL001453,C57178,retail,25,AU,GB,117333.88,wire,CP8173,sanctions_match,5,0
AL001454,C66264,retail,17,DE,GB,100000.0,wire,CP8336,round_amount,2,0
AL001455,C92656,retail,25,FR,ZA,8904.64,ach,CP5881,high_risk_geo,0,0
AL001456,C91248,retail,12,US,US,50000.0,card,CP6497,round_amount,1,0
AL001457,C52539,retail,10,AU,GB,41267.67,ach,CP2755,dormant_reactivation,0,0
AL001458,C60842,retail,24,FR,CA,8018.41,wire,CP2552,structuring,0,0
AL001459,C93079,retail,22,GB,FR,47132.99,ach,CP1389,dormant_reactivation,0,0
AL001460,C33886,retail,2,DE,FR,47036.74,ach,CP8171,dormant_reactivation,8,0
AL001461,C24548,business,1,JP,AE,39898.21,ach,CP6525,sanctions_match,2,1
AL001462,C54536,retail,20,GB,MX,32802.88,ach,CP1524,pep_match,0,0
AL001463,C87317,retail,1,SG,SG,9724.89,wire,CP6999,dormant_reactivation,1,0
AL001464,C49854,retail,19,NG,CA,2925.83,ach,CP1199,sanctions_match,5,1
AL001465,C47252,retail,16,AE,JP,9853.54,card,CP2055,structuring,0,0
AL001466,C41933,retail,17,CA,NG,4408.48,ach,CP7124,velocity,0,0
AL001467,C12519,retail,18,US,CA,15301.56,card,CP7517,sanctions_match,1,1
AL001468,C75661,retail,7,ZA,AU,22073.77,wire,CP5375,dormant_reactivation,2,0
AL001469,C61462,retail,7,DE,FR,2926.21,card,CP9040,velocity,0,1
AL001470,C59739,retail,15,GB,US,8151.89,ach,CP6129,structuring,0,1
AL001471,C29588,retail,21,TR,SG,10095.42,ach,CP4585,high_risk_geo,1,0
AL001472,C42018,private,21,CA,US,57966.76,card,CP1092,high_risk_geo,0,1
AL001473,C68205,retail,2,ZA,ZA,1252.73,wire,CP4603,velocity,3,0
AL001474,C81176,private,17,AE,JP,25000.0,cash,CP8391,round_amount,8,0
AL001475,C33485,retail,7,GB,AU,879.06,wire,CP1138,velocity,5,0
AL001476,C10143,business,22,JP,GB,64330.71,card,CP8289,sanctions_match,3,0
AL001477,C96540,retail,20,TR,US,8214.01,cash,CP3800,structuring,0,0
AL001478,C75946,retail,3,ZA,SG,412.94,ach,CP8152,dormant_reactivation,0,0
AL001479,C60032,retail,22,CA,JP,19992.49,ach,CP9466,high_risk_geo,0,0
AL001480,C59209,retail,2,JP,BR,20311.76,ach,CP3532,high_risk_geo,2,0
AL001481,C28101,retail,3,GB,MX,4809.15,ach,CP3754,velocity,0,0
AL001482,C30380,private,7,US,DE,108909.11,wire,CP1969,high_risk_geo,3,1
AL001483,C65241,retail,23,SG,MM,9401.2,card,CP6896,structuring,2,1
AL001484,C38707,retail,22,US,US,7879.09,wire,CP3149,structuring,0,0
AL001485,C27123,retail,1,JP,TR,43815.36,wire,CP9246,dormant_reactivation,1,0
AL001486,C40252,retail,22,US,AU,7806.32,card,CP8208,structuring,0,0
AL001487,C99474,retail,19,CA,DE,9481.71,ach,CP2212,structuring,1,1
AL001488,C42498,retail,25,US,TR,19981.48,ach,CP9867,high_risk_geo,0,1
AL001489,C75678,business,13,AU,GB,6623.2,card,CP1915,high_risk_geo,3,0
AL001490,C61642,retail,1,JP,BR,48491.68,ach,CP3506,pep_match,5,0
AL001491,C67799,retail,9,AU,US,2927.01,cash,CP8069,velocity,2,0
AL001492,C31925,retail,20,FR,DE,11391.04,ach,CP8432,dormant_reactivation,0,0
AL001493,C55026,retail,13,BR,CA,74231.67,wire,CP6252,sanctions_match,0,0
AL001494,C41470,retail,13,US,SG,24007.42,ach,CP6097,high_risk_geo,1,0
AL001495,C34465,business,9,AU,DE,11776.71,wire,CP6990,high_risk_geo,0,0
AL001496,C57951,retail,2,DE,FR,9879.11,wire,CP9667,structuring,1,1
AL001497,C69445,retail,8,FR,SG,36442.66,card,CP7576,pep_match,1,0
AL001498,C45501,retail,15,MX,JP,8589.48,wire,CP7439,structuring,0,0
AL001499,C58488,retail,5,AU,AE,10000.0,card,CP1362,round_amount,0,0
AL001500,C58655,retail,19,ZA,FR,6750.77,ach,CP7247,high_risk_geo,2,0
AL001501,C87136,retail,11,TR,DE,113573.48,card,CP2944,sanctions_match,0,0
AL001502,C25249,retail,5,FR,FR,27314.19,wire,CP5931,dormant_reactivation,2,0
AL001503,C99216,private,14,KP,AE,100000.0,ach,CP1296,round_amount,1,0
AL001504,C83004,retail,17,CA,JP,8111.17,wire,CP5601,structuring,0,0
AL001505,C98960,retail,21,FR,GB,100000.0,cash,CP9160,round_amount,0,0
AL001506,C39171,retail,23,GB,NG,173029.49,ach,CP8286,sanctions_match,0,0
AL001507,C94633,retail,8,AU,JP,10000.0,wire,CP1764,round_amount,0,0
AL001508,C15980,business,20,JP,BR,6257.64,card,CP1595,high_risk_geo,0,0
AL001509,C13469,retail,6,GB,CA,972.23,ach,CP5933,velocity,2,0
AL001510,C14598,retail,15,CA,DE,20020.2,card,CP4251,pep_match,1,0
AL001511,C85446,retail,19,JP,GB,20511.31,wire,CP8940,high_risk_geo,1,0
AL001512,C29762,private,7,JP,SY,44683.92,ach,CP8253,pep_match,0,0
AL001513,C39556,retail,7,GB,JP,23789.33,ach,CP3116,pep_match,3,0
AL001514,C34567,retail,14,JP,RU,5000.0,card,CP7374,round_amount,1,0
AL001515,C61960,retail,15,CA,GB,42706.3,ach,CP2634,pep_match,0,0
AL001516,C44359,retail,20,ZA,GB,4664.1,card,CP9751,dormant_reactivation,1,0
AL001517,C30023,business,6,SG,SG,13280.25,wire,CP3320,pep_match,5,0
AL001518,C84196,business,17,ZA,CA,30449.92,wire,CP3527,pep_match,0,0
AL001519,C90993,private,5,NG,TR,9408.01,ach,CP6530,structuring,0,0
AL001520,C62011,retail,17,AU,SG,39977.15,wire,CP9057,pep_match,1,1
AL001521,C29463,retail,20,AE,JP,9676.33,card,CP1222,structuring,2,0
AL001522,C57890,business,23,AU,US,20690.9,ach,CP7326,high_risk_geo,0,0
AL001523,C21334,retail,21,SG,JP,2864.95,cash,CP8014,velocity,3,0
AL001524,C59279,business,2,CA,JP,2169.91,wire,CP4465,velocity,3,0
AL001525,C30748,retail,8,SG,GB,119551.51,wire,CP1244,sanctions_match,0,1
AL001526,C91304,retail,24,BR,CA,8473.38,card,CP7611,structuring,1,0
AL001527,C88897,retail,7,SG,SG,7962.48,ach,CP4037,structuring,3,1
AL001528,C56191,retail,20,US,JP,28923.43,ach,CP4886,dormant_reactivation,1,0
AL001529,C14047,business,10,NG,FR,8052.48,wire,CP9396,structuring,2,0
AL001530,C73738,retail,0,JP,CA,7900.04,wire,CP7195,structuring,0,0
AL001531,C70852,retail,13,SG,FR,5000.0,cash,CP7482,round_amount,0,0
AL001532,C36385,retail,2,AU,FR,13956.52,ach,CP7318,high_risk_geo,0,0
AL001533,C14932,business,7,US,JP,6251.87,wire,CP7326,sanctions_match,0,0
AL001534,C59827,business,4,GB,BR,27922.53,ach,CP4649,sanctions_match,1,0
AL001535,C37049,retail,14,JP,US,8605.93,wire,CP7988,structuring,0,0
AL001536,C53307,retail,13,SY,JP,12869.42,card,CP5288,high_risk_geo,0,0
AL001537,C84630,business,19,MX,FR,13018.41,wire,CP5007,dormant_reactivation,3,0
AL001538,C98607,private,8,FR,SG,1170.75,card,CP3807,velocity,3,1
AL001539,C79884,retail,18,JP,GB,19459.0,cash,CP9558,high_risk_geo,0,0
AL001540,C25092,retail,1,AE,CA,249427.74,cash,CP8843,sanctions_match,0,0
AL001541,C86756,private,11,FR,VE,1003.95,ach,CP3161,velocity,2,0
AL001542,C90076,business,2,DE,FR,2855.09,card,CP4660,velocity,0,0
AL001543,C61574,retail,14,TR,MX,34521.92,wire,CP6836,sanctions_match,1,0
AL001544,C20339,retail,13,DE,JP,33941.53,ach,CP4578,dormant_reactivation,0,0
AL001545,C81046,business,2,JP,DE,3494.03,ach,CP7078,velocity,0,0
AL001546,C69967,retail,7,GB,AU,9842.81,cash,CP5796,structuring,0,1
AL001547,C96249,retail,22,CA,DE,22647.96,ach,CP7492,dormant_reactivation,0,0
AL001548,C16569,private,12,US,JP,35450.75,wire,CP3506,dormant_reactivation,2,0
AL001549,C17660,business,6,SG,FR,116721.14,wire,CP3542,sanctions_match,0,0
AL001550,C68779,retail,12,JP,TR,9585.0,ach,CP6517,structuring,0,0
AL001551,C53278,private,4,TR,GB,248803.26,ach,CP7574,high_risk_geo,0,1
AL001552,C26102,retail,2,DE,TR,55255.17,wire,CP8008,sanctions_match,0,0
AL001553,C17427,private,10,US,AU,9499.23,ach,CP3843,structuring,0,1
AL001554,C13806,retail,15,US,GB,9409.03,ach,CP4551,structuring,0,1
AL001555,C12147,retail,25,TR,FR,5000.0,card,CP2488,round_amount,2,0
AL001556,C43940,retail,23,GB,GB,307.99,ach,CP9953,velocity,0,0
AL001557,C88737,retail,13,CA,BR,31875.9,ach,CP3996,dormant_reactivation,2,0
AL001558,C54496,business,15,JP,DE,22447.94,ach,CP9286,high_risk_geo,2,0
AL001559,C46929,business,12,GB,US,47798.11,cash,CP5173,pep_match,0,0
AL001560,C23071,business,2,GB,BR,9173.57,ach,CP3129,structuring,2,0
AL001561,C90503,retail,25,IR,US,9326.19,card,CP1819,structuring,1,0
AL001562,C88415,retail,20,AE,US,41254.08,wire,CP3474,pep_match,0,0
AL001563,C33003,retail,15,FR,GB,11366.79,card,CP3328,high_risk_geo,2,0
AL001564,C24809,business,9,NG,DE,14088.07,wire,CP7155,high_risk_geo,0,0
AL001565,C35624,retail,0,FR,AU,47914.08,card,CP4315,pep_match,1,0
AL001566,C11539,business,18,SG,AE,2535.91,ach,CP5439,velocity,0,0
AL001567,C51054,retail,19,AE,ZA,19000.65,ach,CP4104,dormant_reactivation,0,0
AL001568,C64278,private,19,FR,TR,50000.0,ach,CP4820,round_amount,0,0
AL001569,C55782,retail,2,SG,GB,9797.39,ach,CP9892,structuring,0,0
AL001570,C63806,retail,3,TR,JP,19502.55,wire,CP4577,high_risk_geo,1,1
AL001571,C32591,retail,4,JP,AU,8754.6,ach,CP5860,structuring,1,0
AL001572,C22726,retail,21,AE,CA,3333.06,ach,CP4187,velocity,0,0
AL001573,C22368,retail,5,US,DE,42805.85,wire,CP3832,dormant_reactivation,1,0
AL001574,C62620,private,13,FR,CA,18749.98,wire,CP5881,dormant_reactivation,0,0
AL001575,C98305,business,24,CA,FR,15744.67,ach,CP1015,high_risk_geo,8,1
AL001576,C46932,retail,12,SG,SG,9621.88,ach,CP7542,structuring,2,0
AL001577,C67162,private,4,AE,NG,8276.79,ach,CP3372,structuring,0,0
AL001578,C46884,retail,25,US,CA,71438.37,ach,CP8956,sanctions_match,0,0
AL001579,C89876,business,24,ZA,CA,118029.33,ach,CP5549,sanctions_match,0,0
AL001580,C12744,retail,13,GB,DE,183971.28,wire,CP3754,sanctions_match,0,0
AL001581,C92812,private,3,JP,MM,8980.94,wire,CP1760,structuring,0,1
AL001582,C90733,retail,5,DE,TR,19195.69,card,CP3800,high_risk_geo,1,0
AL001583,C39771,retail,13,US,AU,18950.13,wire,CP3905,high_risk_geo,0,0
AL001584,C73393,business,6,KP,ZA,22859.14,ach,CP7676,high_risk_geo,3,1
AL001585,C24242,business,9,JP,AU,8670.85,wire,CP1013,structuring,0,0
AL001586,C39334,business,16,GB,DE,30516.94,wire,CP6723,dormant_reactivation,0,0
AL001587,C73213,business,12,CA,JP,46907.2,cash,CP9077,dormant_reactivation,1,0
AL001588,C95745,retail,17,AU,JP,29183.66,wire,CP5364,pep_match,3,0
AL001589,C87780,retail,3,GB,SG,5000.0,ach,CP7864,round_amount,0,0
AL001590,C29749,retail,22,DE,FR,3320.67,wire,CP7402,velocity,1,0
AL001591,C50376,retail,10,AU,GB,22397.55,ach,CP9310,high_risk_geo,0,0
AL001592,C49041,retail,24,TR,DE,10456.57,ach,CP3236,high_risk_geo,1,0
AL001593,C67392,retail,9,SG,SG,9474.98,ach,CP7493,structuring,1,1
AL001594,C19865,retail,9,SG,SG,2817.79,ach,CP9340,velocity,2,0
AL001595,C86221,retail,10,FR,SG,8432.86,ach,CP9788,structuring,3,1
AL001596,C61707,business,21,AU,US,1485.58,wire,CP1162,velocity,1,0
AL001597,C12369,retail,19,US,GB,5000.0,ach,CP9918,round_amount,0,0
AL001598,C97257,retail,17,FR,CA,11227.69,ach,CP1674,pep_match,0,0
AL001599,C41006,retail,11,DE,SG,4175.37,cash,CP1238,velocity,0,0
AL001600,C23346,retail,24,MX,AE,53607.09,ach,CP6830,sanctions_match,1,0
AL001601,C48560,retail,17,JP,CA,10221.18,ach,CP8077,high_risk_geo,2,0
AL001602,C14093,retail,20,SG,AE,6092.09,ach,CP2851,dormant_reactivation,0,0
AL001603,C88027,retail,8,JP,AE,58116.09,card,CP1708,sanctions_match,0,1
AL001604,C26521,retail,12,JP,ZA,25000.0,wire,CP2914,round_amount,3,0
AL001605,C11037,retail,5,AU,TR,4665.57,cash,CP6435,velocity,0,0
AL001606,C47823,retail,12,NG,SG,1664.1,ach,CP6335,pep_match,0,0
AL001607,C20726,retail,0,AU,CA,41239.66,wire,CP3247,pep_match,0,0
AL001608,C18911,retail,2,DE,US,185385.07,ach,CP8738,sanctions_match,1,0
AL001609,C42293,retail,20,GB,SG,10000.0,ach,CP6677,round_amount,0,0
AL001610,C50976,retail,11,JP,GB,9079.96,ach,CP2661,structuring,1,1
AL001611,C16181,retail,16,SY,CA,5000.0,wire,CP6951,round_amount,3,0
AL001612,C49002,retail,11,SG,FR,10000.0,cash,CP8182,round_amount,1,0
AL001613,C44073,business,18,FR,SG,89423.58,ach,CP5741,sanctions_match,2,0
AL001614,C18997,business,6,US,SG,15686.31,wire,CP4293,high_risk_geo,0,0
AL001615,C32818,retail,17,GB,US,14488.69,ach,CP8862,high_risk_geo,0,1
AL001616,C63555,retail,14,FR,BR,8491.97,wire,CP6352,structuring,0,0
AL001617,C56693,business,18,JP,SG,40327.69,ach,CP7960,pep_match,0,0
AL001618,C62099,retail,5,FR,BR,183937.56,ach,CP2069,sanctions_match,0,0
AL001619,C85381,business,1,AU,FR,50000.0,wire,CP1475,round_amount,3,0
AL001620,C21139,retail,10,JP,US,23118.42,card,CP9852,high_risk_geo,1,0
AL001621,C91166,retail,24,FR,TR,14881.49,wire,CP8500,dormant_reactivation,3,0
AL001622,C24570,retail,4,JP,BR,3193.79,ach,CP1841,velocity,2,0
AL001623,C69225,retail,19,SG,CA,7055.42,ach,CP2342,pep_match,0,0
AL001624,C30955,retail,6,ZA,FR,4063.88,cash,CP9570,velocity,2,0
AL001625,C24952,business,13,IR,DE,1678.31,ach,CP2342,dormant_reactivation,0,0
AL001626,C90897,retail,0,SG,AE,4729.04,ach,CP3734,velocity,0,0
AL001627,C58977,business,7,US,GB,22228.86,card,CP2465,high_risk_geo,1,0
AL001628,C12618,retail,4,US,SG,792.06,card,CP2991,dormant_reactivation,0,0
AL001629,C41896,retail,10,CA,GB,28760.56,ach,CP7989,pep_match,0,0
AL001630,C49234,retail,1,JP,AE,25213.97,wire,CP4476,pep_match,0,0
AL001631,C67654,private,12,CA,MM,39393.49,ach,CP2292,pep_match,0,0
AL001632,C52173,retail,20,AU,DE,1247.87,ach,CP8048,velocity,1,0
AL001633,C84461,retail,7,FR,DE,162840.05,card,CP4046,sanctions_match,2,0
AL001634,C41455,retail,4,CA,FR,8660.42,ach,CP8725,structuring,0,0
AL001635,C78319,retail,7,GB,AU,32577.81,ach,CP2346,pep_match,0,0
AL001636,C52379,retail,22,CA,NG,5000.0,wire,CP4354,round_amount,0,0
AL001637,C83428,retail,1,NG,BR,13426.93,card,CP9959,pep_match,5,0
AL001638,C44510,retail,16,DE,GB,50000.0,wire,CP5246,round_amount,0,0
AL001639,C96412,retail,15,DE,DE,144048.44,ach,CP1058,sanctions_match,0,0
AL001640,C41081,retail,11,FR,ZA,25000.0,card,CP6384,round_amount,2,0
AL001641,C83393,retail,13,TR,AE,25000.0,card,CP2963,round_amount,0,0
AL001642,C76487,private,16,MX,AE,8468.1,wire,CP9084,structuring,0,0
AL001643,C42908,retail,14,JP,TR,11855.01,ach,CP2544,dormant_reactivation,2,1
AL001644,C26740,retail,0,US,CA,1005.36,card,CP7486,velocity,3,0
AL001645,C95507,retail,2,GB,MX,163974.59,wire,CP6834,sanctions_match,2,0
AL001646,C84059,retail,22,FR,CA,14620.98,ach,CP4524,sanctions_match,1,0
AL001647,C28932,retail,3,DE,NG,15344.56,ach,CP3362,sanctions_match,1,0
AL001648,C34029,private,18,SG,SG,9430.26,card,CP3907,structuring,2,0
AL001649,C64947,retail,21,SY,GB,119.24,card,CP2633,velocity,1,0
AL001650,C11572,retail,6,AE,FR,100000.0,ach,CP3446,round_amount,1,0
AL001651,C64277,retail,7,GB,GB,1950.37,ach,CP3220,pep_match,2,0
AL001652,C74871,retail,0,AU,ZA,2989.11,ach,CP4987,sanctions_match,1,1
AL001653,C95766,retail,24,ZA,AE,23177.46,ach,CP8396,pep_match,0,0
AL001654,C28682,retail,20,DE,AU,5825.13,ach,CP4041,high_risk_geo,3,0
AL001655,C18965,retail,18,MX,FR,20494.13,wire,CP8765,dormant_reactivation,0,0
AL001656,C27268,business,25,FR,US,9606.87,cash,CP4009,structuring,0,0
AL001657,C97073,retail,4,AU,JP,8270.14,ach,CP1278,structuring,2,0
AL001658,C56284,retail,13,SG,SG,8623.06,wire,CP6174,structuring,1,0
AL001659,C55212,retail,21,BR,SG,21366.82,cash,CP6883,high_risk_geo,0,0
AL001660,C21916,retail,17,AU,CA,143955.63,wire,CP3797,sanctions_match,5,0
AL001661,C66093,business,8,AU,MM,3675.91,card,CP9416,velocity,3,0
AL001662,C40241,retail,0,SG,US,125299.87,wire,CP8181,sanctions_match,0,0
AL001663,C49423,business,4,CA,IR,5650.58,wire,CP1714,high_risk_geo,2,1
AL001664,C67284,retail,17,DE,GB,10029.55,ach,CP5430,pep_match,0,0
AL001665,C11275,retail,5,ZA,DE,24309.28,ach,CP3755,high_risk_geo,0,0
AL001666,C10259,retail,6,SG,GB,924.33,card,CP1998,pep_match,0,0
AL001667,C10440,retail,3,AU,FR,35773.0,ach,CP9456,dormant_reactivation,0,0
AL001668,C92283,retail,2,CA,CA,5000.0,wire,CP3494,round_amount,5,0
